,,description,screen_name,name,location,created_at,retweeted_count,profile_image_url,text,allies
300,L,"Travel, Photography, North Norfolk.
USA was home for 20 years.
No party affiliation.....
#Brexit #GO #VoteLeave #TakeControl #EU is NOT Europe #EUisTheProblem",Markwr88,Mark, England,Sat Jan 21 20:58:08 +0000 2012,182,http://pbs.twimg.com/profile_images/728530376008699905/wOa5gXEw_normal.jpg,Well done! Excellent debate. No doubt #VoteLeave https://t.co/2CnHiZQIP8,"['vote_leave', 'LeaveEUOfficial', 'RaajShamji', 'CarolMurphy2013', 'Vote_LeaveMedia', 'TheaDickinson', 'DrTeckKhong', 'lostleonardo', 'LiberalLeave', 'hackneyabbatt', 'MichaelBrailsfo', 'Mustique49', 'Drury7Drury', 'OFrancois60200', 'YBcabbie', 'WhiteWednesday', 'AdriaanBeenen', 'BidC1', 'LouiseMensch', 'jennyriarchi', 'ScotsVoteLeave', 'MercianSaxon', 'TCWilliamson', 'paulnuttallukip', 'CllrBSilvester', 'montie', 'JulesSunbeam', 'cordeiro876', '100pcLondoner', 'ga_richardson', 'DVATW', 'LesleyMillercyp', 'HenrySmithMP', 'NadineDorriesMP', 'russjb2512', 'JohnRealSmith', 'RebelHQ', 'RedHotSquirrel', 'johnmknox', 'childcare', 'ChloeVotesLeave', 'EuropeElects', 'andrealeadsom', 'Jefbray', 'mevbrown', 'davidroachcouk', 'literallylucy1', 'SuzanneEvans1', '_WilliamJones_', 'BrianMcAuslan', 'GilesVersace']"
301,N,Sputnik News Agency and Radio,SputnikInt,Sputnik,,Wed Apr 22 12:55:28 +0000 2009,181,http://pbs.twimg.com/profile_images/730034884282974209/raXvQWsb_normal.jpg,"#CatchUp with some #trending stories: #Rio2016, #Brexit, #Jordan, #Baltops, #NATO, more at https://t.co/AFrP28WJsz https://t.co/mVuUC6LiLc",[]
302,L,"Articulating American Principles & Values 
Steadfast and Loyal, Join the Republic",DonaldTrumpWall,DonaldTrumpWall,,Tue Jun 17 00:00:04 +0000 2014,181,http://pbs.twimg.com/profile_images/617457535851868160/EYPSz2qf_normal.jpg,"#VoteLeave for a future to #BeLeave in!
#Brexit #EU
#MakeBritainGreatAgain #NATO
#BeLeaveInBritain
#StrongerTogether https://t.co/qbD7XHdM8T","['LadyAodh', 'DonaldTrumpWall', 'V_of_Europe', 'grapeofgod', 'LawlessPirate', 'FreddyNEPM', '_ARCHAEOPTERYX_', 'ScotsIrish9', 'billslater', 'ZilteBotte', 'WesSeid', 'axelmojave', 'br0wnsw0rd', 'flexxyourmind', 'nateboomwitt', 'EnvyMeGreatly', 'Epic_OverKill', 'Nigel_Farage', 'buffbro1', 'laurahollis61', 'Stop_The_EU', 'noahalsorensen', 'skallabard69', 'HD2onPBdotcom', 'paulthomas1020', 'PeaceOutCoUk', 'cecki', 'PrisonPlanet', 'hokiedokiemike', 'marylovefreedom', 'HavenMonahan', 'FraserNelson', 'GrrrGraphics', 'edwardnh', 'thatdanstevens', 'HouseCracka', 'TheLadBible', 'business', 'NamVet6669', 'LBC', 'DavidJo52951945', 'LouiseMensch', 'CatlinNya', 'genophilia', 'fabrightwing', 'PunishedWizard', 'goladygo45']"
303,L,UK Independence Party. Led by @Nigel_Farage. Join us: http://www.ukip.org/join #UKIP,UKIP,UKIP,United Kingdom,Fri Aug 19 15:06:55 +0000 2011,180,http://pbs.twimg.com/profile_images/666576564264505344/I3qoT0jY_normal.jpg,LISTEN: @Nigel_Farage takes on Lord Heseltine in the @LBC #EURef debate https://t.co/fXoc7zQNDo Use the hashtag #LBCDebate to Tweet along,"['BillDudleyNorth', 'paulnuttallukip', 'JonathanArnott', 'NathanGillMEP', 'DianeJamesMEP', 'Michael_Heaver']"
304,L,"Pro Israel✡ , Pro Tibet☯, Pro Kurdistan, UKIP, Anti-EU, Thatcherite, All views my own, Drywall specialist, Ibiza! ☥ leave.eu #whitegenocide",The_Earl_GH,Guido Fawkes,Leicester,Sun May 31 10:56:34 +0000 2009,180,http://pbs.twimg.com/profile_images/698873452611170304/F-JEUQNn_normal.jpg,,"['JulesSunbeam', 'BBCRealityCheck', 'WabbitManor', 'LeeWatersUKIP', 'Michael_Taylor_', 'TotallyPip', 'Stop_The_EU', 'Stronger_ln', 'DanHannanMEP', 'mikesey1', 'VoteLeaveUKIP', 'terrylawes', 'oflynnmep', 'Michael_Heaver', 'JimDeMint', 'gupta_james', 'Hansig_jw']"
305,N,"#Breaking news, developing stories from the UK’s national news and sport agency.",PA,Press Association,UK,Tue Feb 03 16:56:21 +0000 2009,180,http://pbs.twimg.com/profile_images/615902208912044032/GqDAR5so_normal.png,David Beckham backs #Remain with plea for 'team Europe' to play together #EUref https://t.co/v6vJJj8YKX https://t.co/ixO3wqFoX2,['richard_kaputt']
306,R,My official page - Leader of the Labour Party - https://join.labour.org.uk/,jeremycorbyn,Jeremy Corbyn MP,UK,Fri Feb 26 15:45:23 +0000 2010,179,http://pbs.twimg.com/profile_images/718105382623776768/ETU7Ygy5_normal.jpg,"Today in Manchester I explained why I - and The Labour Party - are in for Britain #LabourIn #EUref
https://t.co/lWHqw9winB",['UKLabour']
307,R,like a cactus...,Stephsputnik,Steph,"the zoo, south east UK",Sat Jan 22 22:11:39 +0000 2011,179,http://pbs.twimg.com/profile_images/738439162525716480/DHeUg-x4_normal.jpg,I think it's time Gove went back to school ðŸ˜‚ https://t.co/q4EXVAN5tj,"['InFactsOrg', 'thatlot', 'GrahameLucas', 'LibDems']"
308,N,"Chief Political Commentator, The Independent; visiting professor, King's College, London. Books: Tony Blair, Prime Minister; Banned List; QTWTAIN; Listellany",JohnRentoul,John Rentoul,London,Wed Mar 05 21:14:27 +0000 2008,179,http://pbs.twimg.com/profile_images/686469551119269888/q9ToXXT7_normal.jpg,"18% of people say they ""have *not* always felt able to speak freely about
my views [on #EUref] YouGov https://t.co/URxQaQtdXs","['NatCen', 'whatukthinks', 'JoeTwyman', 'Independent', 'paulwaugh', 'johnmcternan']"
309,N,Award-winning journalist/broadcaster/Editor. 8-year Loaded boss. Dad of two. Coal miner's son,MartinDaubney,Martin Daubney,"London, UK",Tue May 01 09:55:16 +0000 2012,178,http://pbs.twimg.com/profile_images/743861835502354436/y8Ui8UWl_normal.jpg,Rare moment of heteronormative gender interaction from Buzzfeed over #EUref &gt;&gt; https://t.co/tSTsprCyh9,[]
310,L,"Thinking is difficult, that's why people judge. #Java objects may seem closer than they appear! #CodeHealth",cbm64,Chris,London,Wed Jul 18 20:59:13 +0000 2012,178,http://pbs.twimg.com/profile_images/704722431710257153/6xCTG7HJ_normal.jpg,"The key word in this article is ""you"". It will (maybe not) make ""you"" poorer. EU is for the establishment #Brexit https://t.co/5dOxEbDL79",[]
311,L,Writer. Web Editor at http://con4lib.com @con4lib. Dep. Editor http://LeaveHQ.com @leaveHQ Blog: http://thescepticisle.com Opinion writer for @Telegraph,TheScepticIsle,Ben Kelly, Yorkshire,Tue Jul 20 12:42:31 +0000 2010,177,http://pbs.twimg.com/profile_images/731579727132172288/xhMPKCmK_normal.jpg,"Pretty insulting. I'm voting #Brexit and I think UK will remain a liberal, open, tolerant country. #BBCDebate","['lostleonardo', 'Akabilky', 'eureferendum', 'WhiteWednesday', 'PeteNorth303', 'UNECE', 'AirTalk']"
312,L,"MY VIEWS ON #POLITICS  #NEWS #EU.#PEGIDA, . ;PLEASE CHECK OUT MY BLOG. LIKE A LAUGH // NO NUTTERS PLEASE :))",gavthebrexit,GAV THE #BREXIT,OUT OF THE EU ?????????????,Wed Oct 02 22:59:23 +0000 2013,176,http://pbs.twimg.com/profile_images/693618633268920320/gN0RngJv_normal.jpg,@KJahans1 @ME0101010101 he is TALKING OUT OF HIS ASS&gt; THE #EU IS FINISHED&gt; WE ARE PICKING A GREAT TIME TO #BREXIT,"['Boadicea51', 'jimmy_1975', 'RobRHC', 'BellaSassin', 'ChooseCruzUSA', 'tj1969t', 'Todaysopinionis', 'Big_Bad_John_4', 'marie52d', 'tilly1930']"
313,L,In memory of Joe,JoCox_1,Why Jo was killed?,"Batley & Spen, West Yorkshire",Tue Jun 21 08:27:26 +0000 2016,176,http://pbs.twimg.com/profile_images/745173152804667392/NYOlgJ84_normal.jpg,"#Brexit For Freedom of Britain
Brexit for economic growth!

#VoteLeaveTakeControl 
#VoteLeave https://t.co/gFeySfgiHo",['vote_leave']
314,R,Official Tweets from the Leader of the @LibDems and Member of Parliament for Westmorland & Lonsdale.,timfarron,Tim Farron,Kendal,Mon Oct 05 13:22:47 +0000 2009,176,http://pbs.twimg.com/profile_images/740294107768066048/beZWVCk7_normal.jpg,"@SamButler2805 sorry, family from Darwen. But we're both for #VoteRemain so 1 out of 3 for you...",['LibDems']
315,R,"Daniel Morgan Murder Podcast: If you haven't heard this story, ask yourself, why?  http://www.untoldmurder.com",peterjukes,Peter Jukes,London,Tue Jun 09 00:28:26 +0000 2009,176,http://pbs.twimg.com/profile_images/635581179375284225/WqVTjJHp_normal.jpg,"Don't know about you, but I feel the #EUref has been a lesson in the dangers of media manipulation and the disaster of demagoguery","['AbiWilks', 'MarkHemi82', 'sturdyAlex', 'jpublik', 'mr_ceebs', 'TheCanarySays', 'jk_rowling', 'HenryJFoy', 'bcomininvisible', 'NCPoliticsEU']"
316,L,"An educator, songwriter and singer. Worship CHUKWU OKIKE ABIAMA. Preach the restoration of Great #Biafra; beautiful African nation. #FreeNnamdiKanu #FreeBiafra",Amaka_Ekwo,Amaka Ekwo-Marchie,UK,Fri Aug 08 07:17:02 +0000 2014,175,http://pbs.twimg.com/profile_images/536703144059621377/E9hx04Id_normal.jpeg,"#Brexit #EURef #Commonwealth #Freedom #TakeControl 

There is a bigger economy &amp; bigger world outside #EU.
Vote leave on Thursday.","['StefSimanowitz', 'UKLabour', 'RoyalNavyNews']"
317,N,@bbcscotlandnews political correspondent. Email nick.eardley@bbc.co.uk. Snapchat: BBCnicke Views all mine.,nickeardleybbc,Nick Eardley,London and Glasgow,Wed Mar 11 00:40:11 +0000 2009,174,http://pbs.twimg.com/profile_images/733705981490761728/Ra9-bgkZ_normal.jpg,"Figure across the UK is slightly up on May 2015 to 38,956,824 #EUref","['daily_politics', 'BBCPolitics', 'SimmPippa']"
318,N,The official account for the activities of Conservative Future in the London Region. Chairman @l_springthorpe. Join our mailing list via http://eepurl.com/5eIkD,LondonCF,London CF,London,Thu Mar 05 08:51:31 +0000 2009,174,http://pbs.twimg.com/profile_images/532859329494261760/3kKDF6nv_normal.png,Who do you think won tonights #BBCDebate on the #EUref ? #VoteLeave or #StrongerIn ?,"['vote_leave', 'LondonCF', 'L_Springthorpe']"
319,L,"#gaza #palestine #israel #BDS MAD EVIL ISRAEL MURDERS BABIES CIVILIANS to STEAL PALESTINIAN LAND RESOURCES with USA UK HELP. To stop my tweets, BLOCK or MUTE me",Col_Connaughton,ISRAEL BOMBS BABIES,London UK,Sun Sep 25 17:29:09 +0000 2011,174,http://pbs.twimg.com/profile_images/496694241536397313/zQY6Kebr_normal.jpeg,PATRICK MINFORD: Why the establishment is against Brexit and why itï¿½s WRONG https://t.co/Bif3besERU #EU #brexit #referendum #voteleave,[]
320,L,Love Britain. All views my own.  No racists pls. #UKIP #TeamNigel #Agnostic #BREXIT #FreedomOfSpeech #LeaveEU #countrybeforeparty ॐ,stardust193,#Let'sLeaveEU,"Somewhere, over the rainbow",Sun Feb 22 03:59:29 +0000 2015,174,http://pbs.twimg.com/profile_images/743789451470606336/HH0lXtnV_normal.jpg,"#Brexit #LeaveEU  #EUref  @BrendanChilton 1975:#Labour's Peter Shore on Project Fear - ""The message that comes out is fear, fear, fear""","['Stop_The_EU', 'ScienceBritain', 'MattPope123', 'StrongerOut', 'toadmeister', 'sketchaganda', 'SiDedman', 'JochemdB', 'V_of_Europe', 'Holbornlolz', 'LeaveEUOfficial', 'davidroachcouk', 'JuliaHB1', 'JulesSunbeam', 'liarpoliticians', 'BrendanChilton', 'deYook', 'hen5269', 'OnlineMagazin', 'terrylawes', 'HealeyCartoons', 'BellaSassin', 'thierrybaudet', 'RaheemKassam', 'Amathyst25', 'MarcherLord1', 'UKIP', 'LBC', 'ScotsVoteLeave', 'EDPC7', 'CEO4TAG', 'mrDesStewart', 'FifeProf', 'Spellitout007', 'AMDWaters', 'hullukip', 'hull_leave', 'marksinco19800', 'EU_Brexit', 'vote_leave', 'Mike_Fabricant', 'RW_RealWorld', 'mevbrown', 'NazNazarian', 'NadineDorriesMP', 'PayetForward', 'oflynnmep', 'ThomasEvansGB', 'sandersn85', '2tweetaboutit', 'jeffraykovich', 'ernietvr', 'LondonLeave', 'WelcometoFleet', 'carefree_tug', 'SingledOutClub', 'angrydadd', 'MarcusFysh', 'DrTeckKhong', 'SunilKumarAu']"
321,L,"Podcast Host, Talk Radio Host and Newspaper Columnist.",jongaunt,Jon gaunt,Leamington,Mon Sep 06 18:59:38 +0000 2010,173,http://pbs.twimg.com/profile_images/661916941204877312/iMOVFlts_normal.png,Closing speech by @BorisJohnson just won the #EUref and consigned @David_Cameron to the dole queue. Standing ovation,"['Jefbray', 'JohnRealSmith', 'StirringTrouble', 'CEO4TAG', 'THFCGep', 'danedweller', 'OnetrueSpur', 'tudorrose16', 'KSmth2000', 'Redfrostie', 'HendonGooner', 'MagsRG', 'Spencer_69', 'vikingracing']"
322,N,"BBC Political Correspondent, Westminster. Manning the @BBCPM #EURef Desk until Thursday",ChrisMasonBBC,Chris Mason,,Mon Mar 02 06:47:33 +0000 2009,173,http://pbs.twimg.com/profile_images/619633807558340613/2ueK5RoJ_normal.jpg,Big @bbc5live #EURef debate on now: with @SJBretty and @ChrisHawkinsUK and LOTS of young people,"['tombarton', 'RozieBreen', 'BBCNewsPR', 'benm_d', 'andrw100']"
323,L,Aussies supporting Britain leaving the European Union. Vote Leave!,Aussies4Britain,Aussies4Britain,United Kingdom,Fri Feb 12 12:08:22 +0000 2016,173,http://pbs.twimg.com/profile_images/698125390011879425/Y7lokYjT_normal.png,Sadiq Khan laughed at by both the audience and Leave campaign - shows a political lightweight #bbcdebate #VoteLeave #TakeControl,"['Mike_Fabricant', 'vote_leave', 'Vote_LeaveMedia', 'SteveBakerHW', 'montie', 'ChloeVotesLeave', 'bernardjenkin', 'JamesDuddridge', 'davidburrowesmp', 'LiamFoxMP', 'consforbritain', 'uniforbritain', 'SJ_Powell', 'rorybroomfield', 'juliamacfarlane', 'NadineDorriesMP', 'MitchellGoldie', 'SuzanneEvans1']"
324,L,"Centre Right helping to expose the depraved left. Swear often because I can, don't like it? Then fuck off! Pushing PC to the limits! COYI!",No2lefties,Brexit,,Sat Oct 17 11:59:15 +0000 2015,172,http://pbs.twimg.com/profile_images/738861137593282560/g3CJSgRK_normal.jpg,"@MartineBBC Another liar from the @BBC, she needs sacking! #Brexit","['DavidJo52951945', 'oljay99', 'TheHirstComment', 'PrisonPlanet', 'marylovefreedom']"
325,L,VOTE LEAVE at the #EU #Referendum & together we will make the #UK Great again! #VOTELEAVE,VOTELEAVEWOLVES,VOTE LEAVE,"Wolverhampton, England",Wed Feb 03 01:22:52 +0000 2016,171,http://pbs.twimg.com/profile_images/743859083204268032/SmzafLfx_normal.jpg,Our friends in Italy back the UK #VoteLeave campaign https://t.co/lX8e6Tks7U,"['Stop_The_EU', 'Daily_Express', 'LeaveEUOfficial', 'ShropshireStar', 'vote_leave', 'NETWORKMIX']"
326,L,USA • #CATASTROPHE Season 2 is now on @AmazonVideo: http://amzn.to/1SuUNL2 @SharonHorgan and I write it.,robdelaney,rob delaney,london ,Fri Feb 27 00:19:20 +0000 2009,171,http://pbs.twimg.com/profile_images/736844751387922432/2K_lc_u6_normal.jpg,Many #Remain editorials are frothy &amp; useless. This one is great though.  https://t.co/qK50EDNij5,['jk_rowling']
327,R,"Freethinker. PhD. Lawyer. Science, History, and Nature. Exposing animal abusers wherever they may lurk. #Vegan. P.S. #FreeRaif",Woodlandbookshp,Bethan Loves Bale Ⓥ,"Cymru, United Kingdom",Fri Feb 26 14:50:13 +0000 2010,171,http://pbs.twimg.com/profile_images/658266081430216704/1ucuIUIH_normal.jpg,@09000gjs Oh I'm not - I'm loaded. I'm looking forward to all you #brexit chumps losing your jobs. #karma,"['Woodlandbookshp', 'MrBrendanCox', 'MetroUK', 'TheEconomist', 'StrongerIn', 'ChristopheWheat', 'JessicaLane2', 'ChrisCathrine', 'husstuffaha', 'Jo_Cox1', 'CarolineLucas', 'victoriabeckham', 'ChukaUmunna', 'LionelMedia', 'BBCNews', 'jk_rowling', 'neilgadhok', 'MirrorPolitics', 'Liverpoolcallin', 'eliistender10', '1michaelgray1', 'United_Fans', 'SkyNews', 'DickGraceless', 'MartynHobbins', 'Otto_English', 'Damien_Deluxe', 'johnprescott', 'MansfieldNL', 'TheGreenParty', 'pheebsgeebs']"
328,R,"Professional faker. Amateur human. Failed deatheater. Happy birthday to all, always, so don't ask. Asses blocked. http://www.instagram.com/therealjasonisaacs",jasonsfolly,Jason Isaacs,up myself,Fri Aug 14 23:48:44 +0000 2009,170,http://pbs.twimg.com/profile_images/742271312136003584/ZpJ4Jf2O_normal.jpg,Read my 2nd post. Couldn't agree with u more. It's the worst off who r best protected. The rich r always ok #Remain https://t.co/kZq79IZXEQ,['alonzo_mosely']
329,N,"Chairman: Q-BRAIN Capital, http://QiLabs.net http://mi2g.net ATCA, Philanthropia HQR. Scientist, Design Engineer, Entrepreneur with Queen's Award!",DKMatai,DK Matai,London UK: Zurich Switzerland ,Mon Mar 26 15:12:50 +0000 2007,170,http://pbs.twimg.com/profile_images/612362309411971072/zK5ntF58_normal.jpg,@GregoryFenn Actually most of those who follow me have not retweeted or liked the tweet on Quick poll. Check here https://t.co/sPJeyDdInJ,[]
330,L,Partner @PwC_UK @PwC_InterDev @GLEEPwCUK | Trustee @DiversityRM @ActBreakSilence @OpeningDoorsLdn | Judge @EiDAWARDS @BritLGBTAwards @NDAwards | #PwCGP100,andy_woodfield,Andy Woodfield ☀️,"London, UK",Fri Oct 14 08:33:44 +0000 2011,170,http://pbs.twimg.com/profile_images/742357238229143552/D4FfOR7L_normal.jpg,'Vote leave and take back control' it's relentless mind control to fox the British people - focus on the facts we are #StrongerIn #BBCDebate,"['StrongerInPress', 'J_Manasa']"
331,L,Right of centre. Catholic. Anti EU. Just the sort of person who is hated by the BBC.,Betelgeuse2015,Andy,Where the truth lies,Sat Feb 12 08:16:22 +0000 2011,169,http://pbs.twimg.com/profile_images/734652724344672256/Jr2vE9PM_normal.jpg,Thursday should be a vote of confidence in Britain - take back democratic control of our country #EURef #VoteLeave https://t.co/XDiLVtrGCC,"['Michael_Taylor_', 'GrahamLKeegan']"
332,R,"The #DHSmission: With honor and integrity, we will safeguard the American people, our homeland, and our values. Deputy Secretary Mayorkas tweets with -ANM.",DHSgov,Homeland Security,"Washington, D.C.",Tue Jul 29 16:32:34 +0000 2008,168,http://pbs.twimg.com/profile_images/936215926/dhs-twitter-300_normal.jpg,"Sec Johnson last night welcomed 19 #newUScitizens, many of whom were former refugees &amp; asylees #RefugeesWelcome https://t.co/gncbHDMZA9",['USUN']
333,N,Europe Editor @BuzzFeedUK. Still the best hair in journalism. Email: Alberto.Nardelli@BuzzFeed.com,AlbertoNardelli,Alberto Nardelli,"London, England",Mon Mar 12 11:24:33 +0000 2007,168,http://pbs.twimg.com/profile_images/730749594460667904/fbfl0fEC_normal.jpg,This is amazing https://t.co/amPwlfZpKL,"['suttonnick', 'victoriabeckham', 'RebeccaFront', 'mattholehouse']"
334,R,"SNP MP for Caithness, Sutherland and Easter Ross.",_PaulMonaghan,Dr Paul Monaghan MP,Scotland,Fri Jul 29 14:21:53 +0000 2011,168,http://pbs.twimg.com/profile_images/674852582741905408/TB8hWLzU_normal.jpg,"This evening I'll be in Edderton and, later, Tain holding #EUReferendum meetings. Everyone welcome. #CSER https://t.co/8qee5nxBE6",['SBlandfo']
335,L,Free Democrats of Commonwealth Nations supporting Britain's EXIT from EU to rejoin the World of Sovereign Independence #VoteLeave #Brexit,WestCapeTribune,Commonwealth Freedom,North Western Cape ,Tue Jan 26 10:21:02 +0000 2016,168,http://pbs.twimg.com/profile_images/744936991507222529/-7U9ClZo_normal.jpg,"A Vote to #Remain is to Declare that UK is No Country &amp; It's People Are No People
#VoteLeave for Britain on Thursday https://t.co/tIZibY79Kq","['top1percentile', 'EricYesyev', 'BBCr4today', 'robertraineyni', '19Hope60', 'SocEconMag', 'PatrioticNeko', 'thierrybaudet', 'DemoGrazzi', 'ObeWanKenobiiii', 'flyingfury1940', 'DJack_Journo', 'vote_leave', 'jdwtweet', 'aenea2662', 'terrylawes', 'JodieActy', 'Vote_LeaveMedia', 'Fight4UK', 'Dwalingen', 'adamhamdy', 'stephenjmchugh', 'glopol_analysis', '_tonycloud_', 'benjastley', 'canofwormstwo', 'ThatNatalieGray', 'DrTeckKhong', 'Stop_The_EU', 'simplysimontfa', 'Alex121114', 'marylovefreedom', 'LouiseMensch', 'LouiseRidley', 'SarahAFC69']"
336,L,"Vote Leave or you will be so fucked, you won't be able to unfuck yourself for 100 years...",_tonycloud_,Patriot,"England, United Kingdom",Fri Dec 23 17:15:19 +0000 2011,167,http://pbs.twimg.com/profile_images/744637235228774400/LrRCehcH_normal.jpg,"I've picked up 800+ #VoteLeave followers in the last month. Hi Everyone! Thx for the follow, I always #followback. #Twitter ownz!","['StrongerOut', 'andy_demaine', 'ElementaryForce', 'BenMason1982', 'vote_leave', 'DJack_Journo', 'TheScepticIsle', 'cfcism', 'kevina364', 'jenkins_siobhan', 'eToro', 'benjastley', 'LouiseMensch', 'StirringTrouble', 'BenArmy_6', 'TheHappyKipper', 'Dwalingen', 'Patriotic_Brit', 'NadineDorriesMP', 'screenwriter', 'spudgun01', 'Jane_CollinsMEP', 'LiberalIsland', 'glynbmorgan', 'croftyization', 'SamanthaLouize7', 'Fight4UK', 'dobbs_michael']"
337,R,"Actor, globe trotter, sports nutter & all round nice chap. #jopworld",OliverPhelps,Oliver Phelps,All over the place.,Mon Mar 16 09:01:52 +0000 2009,165,http://pbs.twimg.com/profile_images/378800000659654806/ad81a4f25852b47dc14a3e84412da35c_normal.jpeg,Could we have a political debate with all the speakers wired up to a polygraph reader? ðŸ¤”ðŸ“ˆðŸ“‰ #EUref,[]
338,N,Top news and features from AFP's reporters around the world. In French: @afpfr. In Spanish: @AFPespanol. For photos: @AFPphoto,AFP,AFP news agency,France,Tue Sep 27 00:35:10 +0000 2011,164,http://pbs.twimg.com/profile_images/697343883630481408/c08JBfBB_normal.jpg,Beckham signs for team Remain ahead of EU vote #Brexit https://t.co/h8PrwJANeO https://t.co/AukgBzjraL,"['afplondon', 'AFPblogs']"
339,L,I am a #LAWYER who Supports #MilitaryCovenant #RoyalMarines #MarineA #RoyalNavy #Veterans #Army #SAS #Paras #RAF #USMC #USNavy #Seals #USArmy #USAF #VoteLeave,HonourCovenant,David Russell,,Wed Jun 10 21:18:00 +0000 2015,164,http://pbs.twimg.com/profile_images/742403917892452352/B4jda5hc_normal.jpg,"It's not really a difficult decision, is it?   #VoteLeave https://t.co/4wf8I6J1mT",[]
340,R,don't worry i have a degree to fall back on if this doesn't work out • half of @NikiNSammy nikinsammy@flipsidetalent.com,NikiAlbon,Niki Albon,"London, England",Thu May 02 13:05:13 +0000 2013,163,http://pbs.twimg.com/profile_images/732514907753750528/SadQy7Ji_normal.jpg,I'm not saying how to vote on Thursday but also I am saying #VoteRemain,[]
341,R,"I write children's books, play guitar in @burnthousemusic @titlesussex Columnist. @actionaidUK Ambassador. Lover of Lego and #CPFC",eliistender10,Giles Paley-Phillips,UK,Mon Mar 09 19:16:42 +0000 2009,163,http://pbs.twimg.com/profile_images/654353372695429120/k-SM1ZON_normal.jpg,Even more reason to Vote to remain! #Remain #ImVotingRemain https://t.co/MRuuwUXdnr,[]
342,L,Pressing the right buttons. Views are my own.,ukipwebmaster,ukipwebmaster,Over the rainbow,Wed Oct 12 23:42:06 +0000 2011,163,http://pbs.twimg.com/profile_images/606100300001386496/Uwfz0WGH_normal.jpg,"We already have prospective trade deals emerging once we #VoteLeave . There's nothing to fear.
 https://t.co/6UOrAbHqzi","['paulnuttallukip', 'Piekos', 'JuliaHB1', 'KTHopkins', 'LouiseMensch', 'SiDedman', 'Arron_banks', 'ImGregCook', 'LPerrins', 'FairFuelUK', 'LeaveEUOfficial', 'TrueSinews', 'JamesDelingpole', 'IrateBrit', 'NelFormaldehyde', 'dwnews', 'spikedonline', 'ukipactivist', 'AndrewRTDavies', 'Queen_UK', 'GaryJRobinson', 'HarrietSergeant', 'Mr13alls', 'UKIP', 'DrTeckKhong', 'NathanGillMEP', 'craigawoodhouse', 'MargotLJParker', 'SirTimRice', 'vote_leave', 'liarpoliticians', 'GodfreyElfwick', 'SteveBakerHW', 'ShneurOdze', 'A_VanderElst', 'gupta_james', 'Khyberman', 'RedHotSquirrel', 'femiokes']"
343,L,"Writer, Blogger, Photographer and satirical Current Affairs Commentator interested in History and Art. Opinions and comments are account holders only.",DisparatePost,Frank Lennon,"Dublin, Ireland",Thu Apr 15 12:06:58 +0000 2010,162,http://pbs.twimg.com/profile_images/686916450418753537/xOJW9Mcn_normal.png,Well now! This does not in the least surprise me. Devious lot! - #Brexit #Grexit #Irexit - https://t.co/cpAHzNmtML,"['ThereIsaidso', 'theLatchicokid', 'MarionWomen', 'sja123', 'adaroc', 'hicks_hugh', 'pmch99', 'agentathcliath']"
344,L,"Author: The Laughing Room; The French Dresser; 25,Chapel Lane; & more; “Fantastic story telling.” Credits: T.V; Radio; Books; Newspapers, Magazines, worldwide.",JohnARead,JohnARead,England,Fri Dec 02 20:35:38 +0000 2011,161,http://pbs.twimg.com/profile_images/514093956515110912/T0h5a27t_normal.jpeg,UNITED IN FREEDOM. 23rd = IndependenceDay for ALL of Europe. We've all had enough of EU corrupt dictatorship #brexit https://t.co/hxeOx3307L,"['JohnARead', 'tommygilchrist', 'Charlton_UKIP', 'AK_Accountants', 'Fight4UK', 'BrexitNoww', 'theordinaryman2', 'NicholasBatty', 'fatfei_', 'DVATW', 'vote_leave', 'Mike_Fabricant', 'PeaceOutCoUk', 'TheScepticIsle', 'j3ffyb', 'LeaveEUOfficial', 'Leavethe_EU', 'cmackinlay', 'NadineDorriesMP', 'AdyParkinson', 'Pappidoll', 'tomchapman16', 'terrylawes', 'Australiaunwra6', 'landloulou', 'HenrySmithMP', 'LNACurrie', 'roomdesign3', 'BossHoggEngland', 'Dwalingen', 'FT', 'DrTeckKhong', 'Wirralo', 'JamesDuddridge', 'OpenEurope', 'Loki__1']"
345,L,"I love the UK+Europe, not the EU. Our freedom is built on British democracy. Don't give it away to EU where your vote means nothing",RichardKing633,Richard King,London,Sat Mar 17 11:46:17 +0000 2012,160,http://pbs.twimg.com/profile_images/628894155553566720/61TtQoeR_normal.jpg,"If you vote #REMAIN your vote will never count again (+your children + grandchildren).
@vote_leave
@Another_Europe https://t.co/TX4WKvd2QW","['vote_leave', 'DVATW', 'RaheemKassam']"
346,R,WILEYBBK CTA,WileyUpdates,Chasing The Art #BBK,igloo studios . ,Sat Sep 11 17:12:02 +0000 2010,160,http://pbs.twimg.com/profile_images/684242031955189760/mCvGQIWY_normal.jpg,@Harveyofficial @JCLARKE_GHETTS #VoteRemain.,"['alimirhashem', 'lharriswhite']"
347,L,my book - 'Enemy of the State http://tommyrobinson.co.uk http://www.amazon.co.uk/gp/aw/d/0957096496/ref=tmm_pap_title_0?ie=UTF8&qid=1452259904&sr=1-1,TRobinsonNewEra,Tommy Robinson,Luton England ,Fri Sep 16 20:07:22 +0000 2011,160,http://pbs.twimg.com/profile_images/695252909299208192/ruSoazWh_normal.jpg,Perpetual liar David Cameron so out of touch he thinks we care what genocidal Soros says https://t.co/totHPUc7er,[]
