,affiliation,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,profile_image_url,text,allies,new_text,new_retweet_count,new_created_at
247,L,213,1508,"What is Britain's destiny? Explore Britain's place in Europe, and in the world. What is the UK's relationship with the EU? Do we need political amalgamation?",OpenBritain,False,en,False,Pacific Time (US & Canada),2832,230,,Open Britain,Global,Thu May 12 12:28:13 +0000 2016,216.0,http://pbs.twimg.com/profile_images/744851762776006656/ShR6Dgk1_normal.jpg,"@simplysimontfa We must ask Corbyn this: 

#EURef #Brexit https://t.co/lxlOIEw3b6","['MrRBourne', 'BeverleyTruth', 'Tom_Slater_', 'adamhamdy', 'oflynnmep', 'EurofileBrexit', 'theordinaryman2', 'DVATW', 'MaggieLavan', 'ScotsVoteLeave', 'NoThankEU2016', 'SteveHiltonx', '_tonycloud_', 'EUNoticeFacts', 'PeteNorth303', 'BBCPropaganda', 'wisermonkeys', 'SJ_Powell', 'Fight4UK', 'OutandProudUK', 'terrylawes']",'Growth' in the #eurozone over the last 2 years was really a result of the 2.2 trillion freshly printed euros injec… https://t.co/YGdse2Nd9Q,17,Sun Apr 08 13:36:11 +0000 2018
248,L,24,9,Here for the referendum.,EuroGuido,False,en,False,Pacific Time (US & Canada),2084,7599,,Euro Guido,"In Europe, not run by EU",Thu Oct 08 12:39:19 +0000 2015,215.0,http://pbs.twimg.com/profile_images/654218502052675584/Mx1ZmXbW_normal.png,Said nobody not on the payroll. https://t.co/Fm6nf2fUxZ,"['LouiseMensch', 'JoeWatts_', 'TellRanil', 'MediaGuido', 'TheSun']",RT @MediaGuido: Another #BrexitBroadcastingCorporation panel with no Brexiters https://t.co/VykcL3BfUB,12,Sun Apr 08 21:43:00 +0000 2018
249,R,6584,237,"Historian ~ Co-Host BBC2 INSIDE VERSAILLES ~ Chief Nerd to BBC HORRIBLE HISTORIES ~ My book is A MILLION YEARS IN A DAY ~ Love film, comedy, politics, Spurs",greg_jenner,False,en,True,London,136408,27032,,(((Greg Jenner))),"Surrey, UK ",Wed Jun 01 15:37:04 +0000 2011,214.0,http://pbs.twimg.com/profile_images/741728198027816960/5mHa9QrG_normal.jpg,"The wheels are falling off the #Brexit bus, probably because it was manufactured to low standards that didn't meet EU safety regulations ðŸ˜‰","['TheEconomist', 'iankatz1000', 'MazzucatoM', 'SkyNews', 'jk_rowling', 'ProfDaveAndress', 'greg_jenner', 'bengoldacre', 'DGDimitrakop', 'SamCaws']",RT @thehistoryguy: Today in 1940: one of the most extraordinary acts of courage ever afloat. Destroyer HMS Glowworm (c1000 tons) attacked t…,164,Sun Apr 08 22:18:39 +0000 2018
250,R,743,2,Head of Communications and Media and Chief Campaign Spokesman for Britain Stronger in Europe. Views on Arsenal not necessarily shared by all on the campaign.,JamesMcGrory,False,en,False,,1729,1825,,James McGrory,London,Mon Nov 16 16:17:45 +0000 2009,213.0,http://pbs.twimg.com/profile_images/744563310457143297/Z0IoOCAa_normal.jpg,Former heads of MI5 and MI6 say we are safer in the EU  #StrongerIn #BBCDebate,"['victoriabeckham', 'wdjstraw', 'StrongerInPress', 'FrancesOGrady', 'suttonnick', 'AdamPritchard82']",RT @OFOCBrexit: Come and join these grassroots organisations NEXT SATURDAY April 14th for the largest pro-EU Action Day ever! Volunteer at…,107,Sat Apr 07 14:10:38 +0000 2018
251,L,238,361,ELoE Supreme Dark Lord and bestselling philosopher. Lead Editor at Castalia House. Lead Designer at Alpenwolf. American Indian and La Raza Cósmica. #Gamergate.,voxday,False,en,False,Greenland,20285,14575,,Supreme Dark Lord,,Sun Apr 05 06:57:57 +0000 2009,212.0,http://pbs.twimg.com/profile_images/687604817573707776/u6IJTHGh_normal.jpg,"Migrants attack British fans returning from France and stone their cars. https://t.co/5XuM9f9lwY

BBC refuses to report for fear of #Brexit","['ohboywhatashot', 'GodfreyElfwick']",deleted,deleted,deleted
252,N,2030,3838,"The UK's favourite morning news programme, every day from 6am on BBC One",BBCBreakfast,True,en,True,London,33099,194701,,BBC Breakfast,"MediaCity, Salford",Thu May 13 12:01:01 +0000 2010,211.0,http://pbs.twimg.com/profile_images/344513261572634535/d211be598dcf8cb0cd7950af4d3a8c93_normal.jpeg,Alan Johnson sets out his ideas for tackling tackling #immigration from within the EU. #EUref https://t.co/MxPtbc1gpo,[],"Is your child scared of hand dryers? They’re not alone!
#Cbeebies presenter @maddiemoate has been telling us about… https://t.co/0RlT5gnma8",52,Sun Apr 08 15:09:23 +0000 2018
253,L,10652,3407,,Geezajay2013,True,en,False,London,22777,17123,,Geeza.  #Brexit,All My Views Are My Own,Sun Sep 15 18:10:23 +0000 2013,211.0,http://pbs.twimg.com/profile_images/692807325434929152/bkZOK0Im_normal.jpg,Ex Royal Navy submariner WW2 Leonard Moore died 91 years old. Last  wish 2 post his #Voteleave. Lets do u proud Sir. https://t.co/JcNzX4JCv0,"['00 reasons everyone should vote to LEAVE the EU on Thursday, can anyone think of more? #Brexit #LeaveEU #Freedom https']","A few questions:
What happened to Grenfell fridge man ?
What happened to Leicester exploding house people ?
What ha… https://t.co/6mVUKaelQz",545,Sat Apr 07 17:48:03 +0000 2018
254,L,279,62,"We are Trade Unionists Against the EU, campaigning against EU neoliberalism, privatisation and austerity, and for a leave vote in the EU referendum.",ExittheEU,False,en,False,London,332,982,,TUAEU,,Fri Nov 06 21:51:22 +0000 2015,210.0,http://pbs.twimg.com/profile_images/744500051477692416/Lr8gcZ-W_normal.jpg,The humiliation of Greece was an act of economic war by the EU. #VoteLeave #Brexit #EUref #Lexit https://t.co/0tNODL2a9q,"['BobKelly16', 'georgegalloway', 'labourleave']","A piece from @PaulEmbery, calling on the TUC to start listening to ordinary workers. https://t.co/COCunyhmNL",4,Tue Apr 03 20:20:13 +0000 2018
255,R,1947,3029,"I draw diagrams. Cycling cartoons https://t.co/vjSHEuvi4L. Church cartoons https://t.co/VyNysOe9Pz. Currently drawing 'The Cycling Cartoonist', published 2017.",davewalker,False,en,False,London,26860,8881,,Dave Walker,Langdon Hills / Leigh-on-Sea,Wed Jul 18 21:18:35 +0000 2007,209.0,http://pbs.twimg.com/profile_images/740935181033480192/GYMRXBdU_normal.jpg,Cartoon: Reasons to vote 'Remain' #EUref https://t.co/QPpzUbh9Qi,[],"Pew with a view, Newport https://t.co/lZlleUjnKI",1,Thu Apr 05 14:34:24 +0000 2018
256,L,12720,536,"Campaigned twice for Boris Johnson, now blog & tweet in his support. All comments and opinions my own. BLOG: https://cyberboris.wordpress.com",angelneptustar,True,en,False,London,359598,13648,,angela,North London,Wed Jan 28 09:58:52 +0000 2009,209.0,http://pbs.twimg.com/profile_images/709655021617479680/y8oIH3JS_normal.jpg,"Disgusted at preaching of selfish John Barnes/Beckham,  I'm alright Jack attitude sucks! @BorisJohnson. #voteleave @vote_leave","['rjgfox', 'cordeiro876', 'vote_leave', 'Brutusmaximus', 'Stop_The_EU', 'VoteLeaveCymru', 'WillyGreyBin', 'toadmeister', 'CivitasEUFacts', 'spidieboy56', 'JoeThorpe1963', 'KayBurley', 'SmlBusinessUK', 'ampmdespatch', 'NadineDorriesMP', 'sarahjanesewell', '_HighPlaces', 'tontons1ST', 'chesterming88', 'DawnWestgate', 'BrianBartonMK', 'lollsandlotts', 'CWoodie49', 'angelaco3', 'Cricket4Britain', 'PaulDoughty1', 'sw4nvesta', 'FordySpurs', 'ago_biggles', 'lawyers4britain']","@gimblemusk Not at all,  just him we are sick of.",0,Sun Apr 08 20:37:44 +0000 2018
257,L,821,435,Conservative Member of Parliament for Enfield Southgate,davidburrowesmp,True,en,True,London,2132,8085,,David Burrowes,London,Fri May 22 21:08:27 +0000 2009,207.0,http://pbs.twimg.com/profile_images/378800000577163156/e16e929d3381a7ce3283e423078c190a_normal.jpeg,"Boris is right, only a tiny % of Commission officials come from the UK - and we elected none of them. #VoteLeave #bbcdebate","['SuellaFernandes', 'MartinDaubney', 'vote_leave']",deleted,deleted,deleted
258,L,18845,48592,Christian. American Nationalist. Investment Banker. Liberty or Death. America Is Still Exceptional. Elect Trump and Paul Nehlen. #NeverHillary #DumpRyan,_HankRearden,False,en,False,,87057,24861,,American Hank,Colorado / DC,Thu Apr 24 13:09:22 +0000 2014,204.0,http://pbs.twimg.com/profile_images/691769217100730369/L5JCSy6C_normal.png,Free the West. #VoteLeave  https://t.co/8KMPSUGEsL,"['LolFishFail', 'JorgenFaxholm', 'realdealdanny', 'Bwsuperstar', 'kinni00', 'DanHannanMEP', 'fifi_j', 'NeilMarkFox', 'careerdr', 'Juliet777777', 'NetworksManager']",deleted,deleted,deleted
259,L,161,171,Dagenham Born & Breed. Just a normal man living his life the best way he know's,ktf1965,True,en-gb,False,,2568,154,,Dagenham Man,,Mon Mar 16 09:02:20 +0000 2015,204.0,http://pbs.twimg.com/profile_images/730141890071298048/pHOcLQyt_normal.jpg,@MarrsioFootball @Peston @alexmassie @Nigel_Farage @pestononsunday shall we analyse where the #Remain camps money has come from,"['GrahamGtk1954', 'DVATW', 'ANDREASSTAVRI', 'bernerlap']",@_samcorfield Maybe someone should be investigating him because it sounds like he has more in common with the pedop… https://t.co/AovIOFVJDk,0,Sun Apr 08 21:57:55 +0000 2018
260,L,20503,80091,Christian☆Conservative☆Pro-Life☆Pro-Israel☆ Anti-Islam☆Born and raised in the great USA! Daughter of WWII and Korean War Vet Dad and Marine Reserves Mom☆3 Boys♡,AMTrump4PRES,False,en,False,Pacific Time (US & Canada),59289,22371,,AM,❤God Bless America,Sat Nov 30 12:58:08 +0000 2013,202.0,http://pbs.twimg.com/profile_images/735104337857241088/SK_5utm5_normal.jpg,@DVATW He's a muslim plant who has already shown his true colors! #VoteLeave #Brexit,"['DVATW', 'RavenHUWolf', 'roomdesign3', 'NetworksManager', 'BellaSassin', 'yorkshireprobs', 'AMTrump4PRES', 'RaheemKassam']",deleted,deleted,deleted
261,R,6025,5492,"University of Leeds student, digital media designer, Labour Party activist and former BRIT School student. Views my own. Showreel: http://youtu.be/uMGchxgZ-vY",Jack_Slater,True,en,False,London,5195,12624,,Jack Slater,London,Sat Jul 30 14:53:55 +0000 2011,202.0,http://pbs.twimg.com/profile_images/708999707398254592/KVw9BgqQ_normal.jpg,"""Only by remaining in the EU and working together can we improve people's lives."" | @JeremyCorbyn #StrongerIN https://t.co/cboKSbCaBk","['EmWatson', 'BBCBreaking', 'ChukaUmunna', 'Harryslaststand', 'StrongerInPress', 'JonAshworth']","RT @wesstreeting: Along with London MPs, including @jeremycorbyn @HackneyAbbott and Shadow Education Secretary @AngelaRayner, I’ve written…",214,Sat Apr 07 09:41:19 +0000 2018
262,L,635,578,"MP for South Northamptonshire.
Wife, Mother. Leave campaigner.
If I can help, please email or see my website.",andrealeadsom,True,en,True,London,2872,15496,,Andrea Leadsom MP,Near Towcester,Wed May 06 21:28:42 +0000 2009,201.0,http://pbs.twimg.com/profile_images/741701078958280704/_XgmCrbO_normal.jpg,"Looking forward to tonight's #BBCDebate!
@vote_leave #VoteLeave #EUref https://t.co/QLKiGAzJav","['rayne_ea', 'lawyers4britain']","RT @carriesymonds: Today we’re giving millions of workers a tax cut. 

See how much more you’ll be keeping with our savings calculator.

👉…",40,Sun Apr 08 07:27:58 +0000 2018
263,N,437,50,http://Express.co.uk - Home of the Daily and Sunday Express,Daily_Express,True,en,True,London,178436,558771,,Daily Express,London,Fri Dec 05 12:05:48 +0000 2008,201.0,http://pbs.twimg.com/profile_images/710375349264244736/-SBr-CdV_normal.jpg,EU referendum polls latest: #Remain camp slightly ahead but #Leave regains momentum https://t.co/F5E6eWEpGX https://t.co/isWQJ5vuUj,['Express_Pics'],#Outlander season 4: Creator reveals REAL reason important Jamie and Claire scene was cut #OutlanderSeason4… https://t.co/QwfgeXcgZw,0,Mon Apr 09 01:00:02 +0000 2018
264,L,3745,8459,Disimpacting the anus of popular culture with the long finger of satire!,Unnamedinsider,False,en,False,London,8504,45035,,Unnamed Insider,UK,Tue Nov 02 11:23:05 +0000 2010,201.0,http://pbs.twimg.com/profile_images/686965792152260608/1Ja_qwv3_normal.jpg,"Michael Gove is threatening to quit David Cameron's cabinet over Brexit. For the first time ever, I fully support Michael Gove #EUref",[],@lossylossylossy  https://t.co/Qfm7BwciM0,0,Sun Apr 08 21:07:15 +0000 2018
265,L,2000,7532,"Blog author. Studied Sunni Shafi'i Islamic scripture, fatwas, tafsir & sharia. EU is no longer a union of nations, it is a European Empire. #Voteleave",MattPope123,False,en,False,,12849,2015,,Matt Byles (Pope),"Saint Neots, England",Tue Feb 24 02:34:46 +0000 2015,200.0,http://pbs.twimg.com/profile_images/744238461268406272/ciV37p4m_normal.jpg,The remain campaign exploiting murder to push their own political agenda. Totally shameful. #VoteLeave,"['4MrBreitbart', 'sametoyoutoo', 'TeeHouse101']",deleted,deleted,deleted
266,L,1701,0,David Cameron and George Osborne impressionist. #Brexit #AltRight,BellaSassin,False,en,False,London,997,2121,,Bella Sassin,Strategic Ops HQ,Tue Feb 02 13:02:04 +0000 2016,198.0,http://pbs.twimg.com/profile_images/720176047296225280/uiKS1UwH_normal.jpg,Poor Dave. He really ought to put his crayons down. #Brexit https://t.co/Aj3YRwLuOR,['thierrybaudet'],"RT @DesignMuseum: Should design address political and social injustice? 

Join Mike Monteiro, writer and director of Mule Design Studio, ne…",7,Sat Apr 07 14:09:04 +0000 2018
267,L,1908,2124,"Stories from the British Biased Communication Propaganda Department. Not affiliated with any other organisation with a similar name.



If you like it, RT it.",BBCPropaganda,False,en,False,Casablanca,176561,11132,,ⒷritainsⒷestⒸhoice,"London, UK",Tue Dec 20 22:30:45 +0000 2011,198.0,http://pbs.twimg.com/profile_images/701069171631779841/-dSfSyzU_normal.png,This is the truth vs the #ProjectFear on workers rights. #BBCDebate https://t.co/jN59wCnRmH,"['terrylawes', 'NCPoliticsEU', 'WestCapeTribune', 'EP_President', 'ExposingBBC', 'MarcherLord1', '50106019HIST', 'L4ughAtTheLeft', 'richie_1994wale', 'DrTeckKhong']",Wow. No wonder he is retiring from politics. https://t.co/6vBCxQPtRi,0,Sun Apr 08 22:18:59 +0000 2018
268,L,1633,1154,"Senior political correspondent, Sky News. Formerly of the Times and FT. Likes running, binge-watching on Netflix & northern soul. https://t.co/77NZ7s56Cx",BethRigby,True,en,True,Hawaii,15977,14532,,Beth Rigby,LONDON,Mon Feb 02 11:39:52 +0000 2009,197.0,http://pbs.twimg.com/profile_images/725654576/bethtweet_normal.jpg,48 hours to go and David Beckham comes out for #remain. Public don't like experts but they do like him! &gt,  https://t.co/f1lfV0f8ih,Latest on the #DoumaGasMassacre from @skynews Dozens dead in 'one of worst chemical strikes in Syrian history'&gt; https://t.co/NIrAcljzIn,37,Sun Apr 08 08:27:42 +0000 2018
269,L,284,1517,"See evil, hear evil, speak about evil. We analyse and comment on political and social issues which affect the UK. Backed up by facts, evidence and data.",wisermonkeys,False,en-gb,False,London,4952,667,,Wiser Monkeys,United Kingdom,Sat Sep 12 15:35:10 +0000 2015,197.0,http://pbs.twimg.com/profile_images/642845696681463808/hxLSuyGJ_normal.png,"Suppose we were JOINING the EU
Would you or your family accept these terms?

https://t.co/OQRu9rFIfq 
#EUref #Brexit https://t.co/VIvcZOXYsO","['Charlton_UKIP', 'bernerlap', 'theordinaryman2', 'LeaveEUOfficial', 'BrexitNoww', 'davidroachcouk', 'MrRed1865']",deleted,deleted,deleted
270,L,6383,2316,Im a supporter and member of UKIP Since 1993.Supporters that follows me i will follow back Pro israel i'm happy to discuse with anyone But will BLOCK Rude ppl,busybuk,True,en,False,London,24516,7269,,CHRIS BYRNE UKIP,Surrey,Fri Aug 24 08:13:30 +0000 2012,196.0,http://pbs.twimg.com/profile_images/674710999434330117/jeTdJoUk_normal.jpg,Sir Bobby Charlton Comes out to #Voteleave https://t.co/qhtd1WU6hX,"['Excalibur57X', 'Jenikay_1', 'JasonEdgington3', 'UKisTired']",deleted,deleted,deleted
271,L,11699,561,"Apparemment négative, puisqu'elle ne crée rien, LA RÉVOLTE est profondément positive puisqu'elle révèle ce qui, en l'homme, est toujours à défendre. Camus",OFrancois60200,False,fr,False,,79683,10832,,OlivierFrancois6020ن,,Mon Apr 15 16:11:30 +0000 2013,196.0,http://pbs.twimg.com/profile_images/3659384560/a646b4eb64e3831e6314c6833332b104_normal.jpeg,"Michel Rocard : ""L'Europe c'est fini, on a ratÃ© le coche""
Eh oui, aprÃ¨s l'heure, c'est plus l'heure
#LEAVE
https://t.co/PecRaJCONo via @LObs","['OFrancois60200', 'GrahamGtk1954', 'vote_leave']","#linky : quand l’état confie une mission publique à un monopole privé...
Petits arrangements entre amis... https://t.co/QrH7gugOFN",5,Sun Apr 08 19:16:38 +0000 2018
272,R,5701,37631,"Proud European & Englishman.Libdem. Left school at 16, thankful for the opportunities & freedom that EU membership have given me.",trevdick,True,en,False,London,118376,5186,,Trevor Stables,Europe,Sat May 08 14:08:21 +0000 2010,195.0,http://pbs.twimg.com/profile_images/697413197033115648/QQZOSFod_normal.jpg,Johnson speaks up for chaos!  #VoteRemain https://t.co/mpax3WKghP,"['trevdick', 'PhilipCJames', 'julie4nw', 'LisaBloor', 'Cooperator1', 'GuyVerhofstadt', 'johnbozzers', 'NewEuropeans', 'RCorbettMEP', 'jk_rowling', 'InFactsOrg', 'Havering_In', 'margarance', 'Bakehouse2016', 'captaineuro', 'Xians4EU', 'RickPoleway', 'HulbertMathew', 'MartinBattey', 'Krys2549', 'qshammer', 'itvnews', 'timfarron', 'MissMillicent', 'scotlibdems', 'LibDems', 'LDINtogether', 'lesbonner', 'StrongerInPress', 'edvaizey', 'ProfTomkins', 'samueljenkinson', 'jelle_simons', 'CER_IanBond', 'MarkBartlam', 'portsmouthld', 'stevebeasant', 'mediawhizz', 'LiberalIsland', 'RTaylor_LibDem', 'cmrwdk', 'divor1987', 'HornyToed', 'Brigid_Fowler', 'politikcat', 'SalBrinton', 'susana_mendonca', 'AttackDog4InEU', 'BelindaBG', 'billiepiper', 'LorraineJohnson', 'JamesMcGrory', 'HertsSUGrainne', 'JamieLibDem', 'dkeene', '38_degrees', 'nick_clegg']",RT @anneapplebaum: A quiet victory for the European commission https://t.co/kI0LQyKtVA,491,Sun Apr 08 20:04:42 +0000 2018
273,N,1062,1296,Breaking news and features from the WSJ.,WSJ,True,en,True,Eastern Time (US & Canada),161134,11213793,,Wall Street Journal,"New York, NY",Sun Apr 01 06:22:13 +0000 2007,195.0,http://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,"The #Brexit vote, whatever the outcome, has fired up anti-Brussels forces across Europe. https://t.co/vv4SrpNtei https://t.co/RzgoggGc2S",['WSJvideo'],"Public health in Venezuela has deteriorated sharply in what used to be one of Latin America’s richest nations
https://t.co/gNAwhGDVYY",2,Mon Apr 09 01:00:10 +0000 2018
274,N,718,14541,"Sharing nature stuff, stories & news from The Wildlife Trusts - our goal is nature's recovery on land and at sea. Tweets by TWT comms team.",WildlifeTrusts,True,en,False,London,17879,90754,,The Wildlife Trusts,"UK, Isle of Man and Alderney",Thu Jul 16 12:22:47 +0000 2009,194.0,http://pbs.twimg.com/profile_images/732220948917583872/xrt7sxwW_normal.jpg,The environment is missing from the #EUref debate but it’s too important to ignore. Evidence and further links: https://t.co/AdTcLcIDgA,[],Sometimes stoats have to move their young (called kits) to a new den. The mother picks up one kit at a time in her… https://t.co/y0DCTDqnkz,40,Sun Apr 08 20:48:01 +0000 2018
275,N,8312,36381,"Chief Economist @UNUWIDER, but otherwise human. Tweeting on anything I fancy. Tweets my own. εἰρωνεία alert",TonysAngle,True,en,False,Helsinki,30991,19022,,Tony Addison,"Helsinki, Finland",Thu Aug 21 07:43:44 +0000 2014,193.0,http://pbs.twimg.com/profile_images/502379596742807553/8_ysjKY-_normal.jpeg,Demolition of idea that #Brexit will help end #Eurozone austerity@sjwrenlewis https://t.co/2ANukcH5qT #StrongerIn https://t.co/POqtXIPStp,['COdendahl'],RT @BrankoMilan: Asian rebound. https://t.co/guqDcP4Ujn,82,Sun Apr 08 19:11:17 +0000 2018
276,L,3742,911,".Prominent Conservative activist . Award winning CPF Group Chm. Secretary, Yorkshire CPF . Sec. Beeston Forum. Chairman. Beeston N'hood Forum. All views my own",RobertWinfield2,True,en,False,London,101047,3349,,Robert Winfield,Leeds ,Fri Oct 05 06:57:01 +0000 2012,192.0,http://pbs.twimg.com/profile_images/3021112020/1216b7e9eef4a3b0b982552f716b858c_normal.jpeg,@theoude notes that the EU is only 8% of the world's. population #EUref,"['QuantumOverlord', 'joe_pattinson', 'chrisg0000', 'j30moo', 'muheedjeeran', 'literallylucy1', 'popelancaster', 'andrealeadsom', 'HeatherWheeler', 'SkyNews', 'Ribenageorgina', 'HarrietSergeant', 'Y_Eurosceptics', 'A_Tsatiashvili', 'Robbo1992x', '_hanimustafa', 'voteleaveyorks', 'AmyLeedsTory', 'ChloeVotesLeave', 'TheaDickinson', 'sarahjanesewell', 'SteveBakerHW', 'Vote_LeaveMedia', 'VoteLeaveCroy', 'WomenforBritain', 'tomchapman16', 'AlexandralSwann', 'theoude', 'AmandeepBhogal', 'avemariarebecca', 'Barnesy19', 'vote_leave', 'Jeansmart45Jean', 'HJMacManus', 'johnlgough', 'AubelFelix', 'Mike_Fabricant', 'matthewjsnape', 'LouiseMensch', 'yorkshirebec', 'LadyIsabella81', 'bernerlap']",RT @joedgoldberg: @labourpress Delete your account. Why won’t @EmilyThornberry put her name to this. Why won’t @JeremyCorbyn? Just a shamef…,7,Sun Apr 08 21:38:04 +0000 2018
277,L,1464,4808,Director of Sharia Watch UK http://www.shariawatch.org.uk        http://www.breitbart.com/author/anne-marie-waters-2/ Views my own.,AMDWaters,True,en,False,,14217,9337,,Anne Marie Waters,England ,Sat Jan 29 10:16:46 +0000 2011,192.0,http://pbs.twimg.com/profile_images/674244664980021248/YP0wlSdG_normal.jpg,"Turkey is clearly not European. Its an oppressive increasingly totalitarian nightmare dominated by Islam. Oh wait... 
#VoteLeave","['MancZombie', 'GodfreyElfwick', 'vote_leave', 'Bad_Sweary_Frog', 'LeaveEUOfficial', 'alhank78', 'EnglishTommy1', 'TeeHouse101']","Please vote for @BeyondTerrorAMW to reach the top of the publisher's chart! 
Thank you.  https://t.co/T7SYfG5s4A",254,Sun Apr 08 11:03:25 +0000 2018
278,N,71,16,146% of Russians didn't elect me. The Soviet Foreign Ministry @mfa_russia banned me as they sound more like a parody than I do.,DarthPutinKGB,False,en,False,Athens,26911,71711,,Darth Putin,"Moscow, Ukraine, Syria, Turkey",Mon Nov 19 12:09:43 +0000 2012,192.0,http://pbs.twimg.com/profile_images/614718775049482240/JBrsSPbV_normal.jpg,The difference between #Brexit &amp, Crimea referendums. https://t.co/7Y0f7QRTtj,"It's going to be really awkward if none of our wonder weapons can hit a Tomahawk missile.

Who am I kidding? We'll just lie. 😂",5,Mon Apr 09 00:45:00 +0000 2018
279,L,3506,162,"Member of Parliament for Copeland. Red Leader, Rebel Alliance",jreedmp,False,en,False,,61895,20435,,Jamie Reed,Whitehaven / Westminster,Wed Sep 15 16:49:31 +0000 2010,191.0,http://pbs.twimg.com/profile_images/685511763647922176/tq39-loo_normal.jpg,"#BBCDebate Sadiq 100% right. We're stronger, safer and better off in Europe.
#StrongerIn","['andybell5news', 'ChukaUmunna', 'StrongerIn', 'bengoldacre', 'KateEMcCann', 'Bonn1eGreer', 'RhonddaBryant', 'CHazelgrove', 'billiepiper']",deleted,deleted,deleted
280,R,102,266,"Perfil oficial de noticias del Ayuntamiento de Madrid. Los avisos, sugerencias y quejas sobre servicios municipales se atienden en @Lineamadrid.",MADRID,False,es,True,Madrid,14102,275836,,Ayuntamiento Madrid,Madrid. España,Tue Mar 06 22:31:56 +0000 2007,191.0,http://pbs.twimg.com/profile_images/739878271140155392/QfDq4miq_normal.jpg,".@Madrid con los colores de  ðŸ‡¬ðŸ‡§ por su permanencia en la UE. We are all safer, better off and #StrongerIn Europe. https://t.co/Xjv4HyzF4W",[],☔️🚗 Este lunes se prevé lluvia = reforzamos medidas de gestión del tráfico (agentes de movilidad y grúas para retir… https://t.co/lt9BgTVRhJ,14,Sun Apr 08 20:26:00 +0000 2018
281,R,325,5586,"21 • lover of burritos, winged eyeliner, general sciences and travelling •",evangeliney0ung,True,en,False,London,8295,1271,,Evie Young,,Sat Sep 07 15:22:51 +0000 2013,190.0,http://pbs.twimg.com/profile_images/744259501499490304/fgwvVjbt_normal.jpg,Yeah I'm sure your apology will mean so much when everyone's losing their jobs #brexit #voteremain https://t.co/gEsIwhsSsI,"['hxrrywxlsh', 'saltandchic']",deleted,deleted,deleted
282,R,3820,2943,"Fan of Everton. The Smiths. Partridge. Brent. - Not my words Michael, the words of Shakin' Stevens.",iamconnaugh,False,en,False,London,6791,5241,,Con.,,Thu Sep 20 17:36:45 +0000 2012,190.0,http://pbs.twimg.com/profile_images/629416968781721600/7MuhDnjM_normal.jpg,A 90 year old can vote and drop dead the next day but a 16/17 year old can't vote on something that will affect them for decades. #EUref,[],"if you                           then you don't 
don't love                    deserve 
me at my… https://t.co/AjEXzR62gY",1478,Tue Apr 03 20:56:55 +0000 2018
283,L,348,2113,Passionate about our country & the corruption in politics.. ❤Music Heals the Soul❤ ✌ Follow for #VoteOUT #LeaveEU Celebrate together 24th!,SamanthaLouize7,False,en,False,London,10794,511,,Samantha Chandler,"England, Kent",Wed Sep 09 16:18:59 +0000 2009,190.0,http://pbs.twimg.com/profile_images/734066475254829056/JygknJ-L_normal.jpg,#VoteLeave This is OUR one &amp, ONLY chance to get out of the corruption of Brussels. #EUref https://t.co/StLnmadOM8,"RT @johnmcdonnellMP: That’s a novel idea. A party of the rich, by the rIch, for the rich.   A party for the few not the many.  https://t.co…",2813,Sun Apr 08 12:10:39 +0000 2018
284,L,1086,680,"Journalist & web editor at @JewishNewsUK. My views etc...... For incessant cricket tweeting, follow @jackmendel4",Mendelpol,True,en,True,Pacific Time (US & Canada),19293,1569,,Jack Mendel,,Sun Jun 22 08:20:16 +0000 2014,189.0,http://pbs.twimg.com/profile_images/729791417363607552/pMlCiGFK_normal.jpg,Michael Gove claims @officialbarnesy is for #Brexit. He confronts him on air. Good on Jon Barnes. *Outrageous* chutzpah form a Gov minister,['jreedmp'],@mrkernow @antisemitism @Ian_Coh https://t.co/hNqPmDK5e7,0,Sun Apr 08 22:23:09 +0000 2018
